locations,count
new york,5482
florida,1659
palm beach,1327
united states,925
s.d.n.y.,704
west palm beach,655
new mexico,637
southern district of new york,457
nym,379
manhattan,305
france,296
london,261
pbi,257
"new york, ny",256
miami,252
paris,244
palm beach county,240
ny,233
united kingdom,208
california,197
jfk,196
new jersey,185
new york city,185
denver,183
fl,182
e.d.n.y.,172
southern district of florida,168
teb,158
colorado,151
"denver, co",151
teterboro,135
shu,125
unknown airport,125
"st thomas, vi",125
40 foley square,124
england,122
"washington, d.c.",119
usa,118
santa fe,114
cmh,110
new hampshire,107
saf,105
nyc,104
2d cir.,100
tist,98
brooklyn,95
ataturk,91
ist,90
pennsylvania,88
northeast region,88
ohio,86
st. thomas,85
"washington, dc",84
358 el brillo way,84
georgia,79
u.s. virgin islands,77
massachusetts,77
cdg,77
texas,75
"west palm beach, fl",75
white plains,74
onondaga,73
courthouse,72
us,72
los angeles,71
mcc,71
albuquerque,69
royal palm beach high school,69
el brillo way,65
john f kennedy intl,65
virginia,64
newark,64
mcc new york,64
thailand,63
tcb,63
virgin islands,62
ewr,62
canada,61
chicago,58
ca,58
newark international,57
mar-a-lago,56
new york mcc,53
uk,51
interlochen,51
palm beach lakes blvd.,51
foley square,50
lfpb,50
dca,50
bronx,49
co,49
district of columbia,48
mdc,48
fort lauderdale,47
w.d.n.y.,46
san francisco,46
connecticut,46
orly,46
atl,46
9 south shu,46
housing units,46
u.s.,45
maryland,45
xxx,45
arizona,44
boston,43
bed,42
n.y.,41
orlando,41
epstein's house,41
illinois,40
thurgood marshall united states courthouse,40
u.k.,40
michigan,39
new york ny,39
jfk airport,38
d. conn.,38
500 pearl street,38
sdny,38
phx,38
457 madison ave,38
israel,37
philadelphia,37
united states courthouse,37
eastern district of new york,37
tallahassee,37
"paris, ch. de gaulle",37
washington,36
cyril e king,36
southern district,35
kinnerton street,35
d.d.c.,35
atlanta,35
palm beach gardens,35
358 el brillo,35
jax,35
"denver, colorado",34
columbus,34
pittsburgh,34
las vegas,34
europe,34
150 park row,34
mexico,33
"housing unit, special (shu)",33
bos,33
tgb,33
bronxville,32
thurgood marshall u.s. courthouse,32
royal palm beach,32
tst,32
courtroom,31
alaska,31
ewrory,31
rhode island,30
delaware,30
upper east side,30
daniel patrick moynihan courthouse,30
westchester,29
"palm beach, fl",29
vny,29
"w palm bch, fl",29
houston,28
st thomas,28
"housing units, general population",28
7 north,28
11 south,28
5 south,28
nevada,27
district,27
dc,27
africa,27
broadway,26
eastern district,26
usvi,26
palm beach international airport,26
abq,26
lon,26
11 north,26
oregon,25
utah,25
hawaii,25
nj,25
el brillo,25
ch. de gaulle,25
isp,25
9 north,25
9south,25
shu #1,25
shu #4,25
zorro ranch,24
san diego,24
sdfl,24
n.d. cal.,24
loxahatchee,24
ory,24
7 south,24
5 north,24
eggw,24
second circuit,23
jacksonville,23
wpalmbeach fl,23
st thomas is.-h s truman airport,23
shu #2,23
lna,23
new york ny 10022-6843 us,23
louisiana,22
toronto,22
puerto rico,22
switzerland,22
traverse city,22
america,22
mia,22
9 east 71st street,21
"orlando, fl",21
"san francisco, ca",21
wellington,21
457 madison avenue,21
metropolitan correctional center,21
unit 2,21
italy,20
oxford,20
united states of america,20
"san diego, ca",20
seattle,20
"chicago, il",20
"newport beach, ca",20
germany,20
s.d. fla.,20
bgr,20
muc,20
44 kinnerton street,19
kentucky,19
stt,19
mvy,19
pbe,19
san,19
maine,18
e.d. pa.,18
tennessee,18
new york state,18
dallas,18
"baltimore, md",18
phoenix,18
dutchess,18
"miami, fl",18
mall,18
"paris, orly",18
shu #3,18
fll,18
metropolitan detention center,18
sav,18
belgravia,17
south africa,17
madison avenue,17
d.c.,17
ireland,17
missouri,17
rockland,17
putnam,17
orange,17
lake worth,17
royal palm,17
es,17
10 south upper,17
"estill, sc",17
britain,16
australia,16
"arlington, va",16
40 centre street,16
"providence, ri",16
