organizations,count
"southern district reporters, p.c.",8283
department of justice,3652
government,1880
united states district court,1246
court,1228
fbi,1095
bop,929
southern district of new york,759
usao,755
united states,752
mcc new york,692
metropolitan correctional center,642
united states of america,605
palm beach police department,598
federal bureau of prisons,586
united states attorney,569
second circuit,558
bureau of prisons,552
opr,503
u.s. department of justice,475
law offices of bobbi c. sternheim,394
cohen & gresser llp,376
mdc,338
usa,329
united states attorney's office,309
state attorney's office,304
fedex,259
myspace,257
u.s. attorney's office,252
mcc,226
the court,224
supreme court,221
cbp,219
district court,201
"haddon, morgan & foreman p.c.",183
verizon,174
department,171
federal bureau of investigation,169
clc new york,169
pbpd,146
pretrial services,145
united states court of appeals for the second circuit,133
general aviation,132
sdny,128
congress,117
nym,116
boies schiller,112
ceos,112
usao-sdfl,108
southern district reporters,105
nypd,105
myspace.com,101
"censor & associates reporting and transcription, inc.",101
usms,99
amadeus dcs altea cm,99
cingular wireless,99
samsung,93
oag,93
united states department of justice,92
united states courthouse,87
metropolitan detention center,87
magna legal services,85
reuters,80
"haddon, morgan and foreman, p.c.",77
usao-sdny,77
oig,73
u.s.,72
american academy of psychiatry and the law,72
air france,72
s.d.n.y.,71
u.s department of justice,71
united states court of appeals,71
nym/duty officer,71
u.s. attorney,70
special housing unit,70
daily mail,69
bsf,69
altea+cm,67
new york times,62
defense counsel,62
haddon morgan and foreman,62
american psychiatric association,62
boies schiller flexner llp,60
miami herald,60
"haddon, morgan and foreman, p.c",59
united states district court for the southern district of new york,59
palm beach county sheriff's office,59
u.s. attorney's office for the southern district of new york,57
defense,57
state of florida,56
grand jury,55
u.s. district court,54
u.s. customs and border protection,54
"u.s. attorney's office, sdny",53
american psychological association,52
markus/moss pllc,51
federal medical center,50
criminal division,48
u.s. department of homeland security,48
victoria's secret,47
u.s. public health service,47
irs,46
usdoj,46
censor & associates,46
interlochen,45
"hyperion air, inc.",44
the independent,43
usanys,43
new york post,42
nym/food svcs,42
united states attorney's office for the southern district of new york,41
office of the state attorney,41
j. consor & associates reporting & transcription,41
united states attorney for the southern district of new york,40
office of professional responsibility,39
epstein victim compensation fund,37
commonwealth,37
u.s. court of appeals,37
bear stearns,37
breitbart,37
mdc brooklyn,36
cohen & gresser,35
florida psychiatric society,34
office of the deputy attorney general,34
palm beach county courthouse,33
2d cir.,32
epstein victims' compensation program,32
european union,32
harvard university,31
"official reporting service, llc",31
ogr,30
us court of appeals,30
cnn,29
court of appeals,29
sdfl,29
the daily beast,29
mar-a-lago,29
nym/food sves,29
french ministry of justice,29
zuckerman spaeder llp,28
u.s. supreme court,28
oxford university,28
united states court,28
cvra,28
u.s. marshal,28
kirkland & ellis,28
ny daily news,28
detective bureau,28
royal palm beach high school,28
af,28
bellsouth,28
united states district judge,27
deutsche bank,27
the new york times,26
professional children's school,26
office of the inspector general,26
france,26
united states marshal,25
evcp,25
twitter,25
florida bar,25
american bar association,24
usa today,24
abc news,24
united states government,24
southern psychiatric association,24
american academy of forensic sciences,24
chemical bank,24
new york daily news,24
florida department of law enforcement,24
circuit court of the fifteenth judicial circuit,24
