people,count
jeffrey epstein,8168
ghislaine maxwell,7211
alison j. nathan,1882
jane,1327
mr. everdell,1128
mr. epstein,1116
ms. moe,1098
ms. comey,1091
ms. menninger,1064
mr. pagliuca,861
jeffrey edward epstein,792
alison moe,783
maurene comey,744
lara pomerantz,719
carolyn,709
ms. sternheim,675
ms. pomerantz,669
villafaña,669
acosta,646
andrew rohrbach,610
christian r. everdell,605
bobbi c. sternheim,558
shirley v. skipper-scott,504
jeffrey s. pagliuca,492
sloman,482
mr. rohrbach,478
ghislaine,464
kate,454
ray ormond,453
lamine n'diaye,392
laura a. menninger,361
jeffrey e epstein,358
the court,349
lourie,340
annie,331
ms. drescher,329
sarah kellen,320
defendant,299
dr. rocchio,299
damian williams,274
menchel,261
jeffrey,243
sarah,240
mr. alessi,233
lefkowitz,226
virginia roberts,222
juror 50,221
annie farmer,214
judge nathan,212
audrey strauss,208
christian everdell,202
charisma edge,198
hugh hurwitz,192
alex rossmiller,185
virginia,161
haley robson,160
richard m. berman,149
lee plourde,146
juan alessi,138
comey,138
j. ray ormond,137
pagliuca,134
jeffrey pagliuca,132
pomerantz,131
lanna belohlavek,131
paul m. daugerdas,129
sanchez,128
ms. williams,127
larry visoski,124
det joe recarey,124
mark s. cohen,124
laura menninger,123
alessi,122
minor victim-3,120
mr. parkinson,119
giuffre,116
jeffrey e. epstein,115
jeff,115
park dietz,114
nathan,114
loftus,113
ms. mode,110
bobbi sternheim,110
shirley skipper-scott,110
r. alexander acosta,108
catherine o'hagan wolfe,108
rocchio,107
farmer,104
matt,103
brune,99
minor victim-1,99
je,97
visoski,96
catherine conrad,95
mr. tein,95
mr. visoski,92
j. epstein,92
will,92
mr. leopold,92
dr. loftus,90
minor victim-2,90
mr. okula,88
dr. dietz,88
michael thomas,88
oosterbaan,87
starr,87
minor victim-4,84
james petrucci,84
mr. cohen,82
tova noel,80
dave rodgers,79
jack a. goldberger,79
ghislain maxwell,77
amanda young,77
accuser-3,77
mr. shechtman,76
shawn,76
jane doe,76
brad edwards,76
thomas,75
judge pauley,74
jeffery epstein,74
gerald lefcourt,74
